Candidate_ID,Candidate_Name,Gender,Age,Source,Position,Department,Recruiter,Application_Date,Interview_Date,Offer_Date,Joining_Date,Status,Salary_Offered
C092,Pooja Deshmukh,Male,35,Naukri,Sales Executive,Sales,Sneha,2024-06-14,2024-06-20,2024-06-25,,Offer Accepted,833590.0
C093,Snehal Patil,Female,28,Referral,Sales Executive,Sales,Amit,2024-04-26,2024-05-05,2024-05-09,2024-06-04,Joined,928492.0
C094,Snehal Patil,Male,35,Naukri,HR Executive,HR,Pallavi,2024-03-28,2024-04-06,2024-04-09,2024-04-28,Joined,596578.0
C095,Aarti Kulkarni,Female,35,LinkedIn,Sales Executive,Sales,Pallavi,2024-03-29,2024-04-05,2024-04-12,,Offer Declined,695533.0
C096,Sayali Patil,Female,35,LinkedIn,Software Engineer,IT,Pallavi,2024-02-29,2024-03-08,2024-03-14,2024-04-05,Joined,1039485.0
C097,Pratik Jadhav,Male,29,Naukri,Software Engineer,IT,Rohit,2024-01-26,2024-02-03,2024-02-09,2024-02-23,Joined,316093.0
C098,Pratik Jadhav,Male,23,Referral,HR Executive,HR,Rohit,2024-06-08,2024-06-18,2024-06-21,,Offer Accepted,1193140.0
C099,Komal Shinde,Female,27,Referral,Manager,Management,Sneha,2024-06-07,2024-06-12,2024-06-17,2024-06-29,Joined,538536.0
C100,Pratik Jadhav,Male,34,Naukri,Sales Executive,Sales,Amit,2024-06-26,2024-07-03,,,Rejected,
C101,Rahul Patil,Female,34,Naukri,HR Executive,HR,Rohit,2024-04-05,2024-04-13,2024-04-20,2024-05-18,Joined,732067.0
C102,Rohit Kale,Male,24,LinkedIn,Data Analyst,Analytics,Pallavi,2024-06-07,2024-06-17,2024-06-24,2024-07-11,Joined,450069.0
C103,Sayali Patil,Female,29,Indeed,Data Analyst,Analytics,Pallavi,2024-03-14,2024-03-24,2024-03-27,,Offer Declined,763187.0
C104,Komal Shinde,Female,32,Referral,HR Executive,HR,Pallavi,2024-03-18,2024-03-24,,,Rejected,
C105,Aarti Kulkarni,Female,23,LinkedIn,Sales Executive,Sales,Rohit,2024-05-27,2024-06-03,,,Rejected,
C106,Saurabh More,Male,35,Referral,HR Executive,HR,Sneha,2024-05-24,2024-06-03,,,Rejected,
C107,Rahul Patil,Female,35,Indeed,Software Engineer,IT,Rohit,2024-02-26,2024-03-07,2024-03-12,2024-03-26,Joined,1010687.0
C108,Rohit Kale,Male,32,Naukri,HR Executive,HR,Pallavi,2024-01-09,2024-01-18,2024-01-22,,Offer Accepted,394511.0
C109,Vikas Chavan,Female,27,Referral,Software Engineer,IT,Amit,2024-02-03,2024-02-12,,,Rejected,
C110,Komal Shinde,Female,35,LinkedIn,HR Executive,HR,Pallavi,2024-03-16,2024-03-26,,,Rejected,
C111,Kunal Desai,Male,29,Naukri,Software Engineer,IT,Amit,2024-06-22,2024-07-02,2024-07-08,,Offer Declined,1186827.0
C112,Kunal Desai,Female,23,Referral,Data Analyst,Analytics,Rohit,2024-05-17,2024-05-22,2024-05-27,,Offer Accepted,912955.0
C113,Pratik Jadhav,Female,23,LinkedIn,Sales Executive,Sales,Sneha,2024-06-07,2024-06-16,2024-06-23,2024-07-23,Joined,532120.0
C114,Pooja Deshmukh,Female,33,Indeed,Sales Executive,Sales,Sneha,2024-02-05,2024-02-10,,,Rejected,
C115,Saurabh More,Female,23,Naukri,Software Engineer,IT,Amit,2024-04-09,2024-04-17,2024-04-24,,Offer Accepted,739486.0
C116,Shweta Kulkarni,Male,28,Naukri,Sales Executive,Sales,Pallavi,2024-03-12,2024-03-17,2024-03-21,,Offer Declined,764920.0
C117,Sayali Patil,Male,35,Indeed,Data Analyst,Analytics,Rohit,2024-05-19,2024-05-29,2024-06-04,,Offer Accepted,589282.0
C118,Neha Joshi,Male,35,Referral,Data Analyst,Analytics,Amit,2024-06-13,2024-06-23,2024-06-26,,Offer Declined,353035.0
C119,Kunal Desai,Female,25,LinkedIn,Manager,Management,Amit,2024-01-18,2024-01-27,2024-01-31,2024-02-17,Joined,1152547.0
C120,Komal Shinde,Male,34,Naukri,HR Executive,HR,Amit,2024-02-03,2024-02-12,2024-02-16,2024-02-26,Joined,415266.0
C121,Akash Kulkarni,Male,27,LinkedIn,Manager,Management,Rohit,2024-01-05,2024-01-11,2024-01-15,2024-02-07,Joined,1077747.0
C122,Amol Pawar,Male,33,Naukri,Sales Executive,Sales,Pallavi,2024-04-02,2024-04-11,2024-04-17,,Offer Declined,828313.0
C123,Neha Joshi,Male,33,Indeed,Sales Executive,Sales,Sneha,2024-01-16,2024-01-24,,,Rejected,
C124,Pratik Jadhav,Male,29,Referral,Data Analyst,Analytics,Sneha,2024-03-23,2024-04-01,2024-04-05,2024-05-04,Joined,588375.0
C125,Rohit Kale,Female,28,Indeed,Sales Executive,Sales,Pallavi,2024-01-26,2024-02-05,2024-02-12,2024-02-28,Joined,1055855.0
C126,Pratik Jadhav,Female,25,Referral,HR Executive,HR,Pallavi,2024-04-12,2024-04-20,,,Rejected,
C127,Komal Shinde,Female,27,Indeed,HR Executive,HR,Amit,2024-06-24,2024-07-02,2024-07-05,2024-07-28,Joined,397758.0
C128,Pooja Deshmukh,Female,34,LinkedIn,Manager,Management,Sneha,2024-05-30,2024-06-08,2024-06-11,,Offer Declined,730764.0
C129,Komal Shinde,Female,35,Naukri,HR Executive,HR,Rohit,2024-03-31,2024-04-05,2024-04-09,,Offer Declined,462246.0
C130,Rohit Kale,Female,25,Naukri,HR Executive,HR,Rohit,2024-01-30,2024-02-06,2024-02-12,,Offer Declined,1186209.0
C131,Amol Pawar,Male,31,Indeed,Data Analyst,Analytics,Amit,2024-03-10,2024-03-20,,,Rejected,
C132,Vikas Chavan,Female,27,Naukri,Software Engineer,IT,Amit,2024-05-24,2024-06-03,2024-06-07,,Offer Accepted,1076962.0
C133,Rohit Kale,Male,23,LinkedIn,Sales Executive,Sales,Pallavi,2024-04-26,2024-05-03,2024-05-08,2024-05-28,Joined,1056648.0
C134,Kunal Desai,Male,22,LinkedIn,Software Engineer,IT,Sneha,2024-06-21,2024-06-26,2024-07-02,2024-07-31,Joined,809253.0
C135,Sayali Patil,Female,26,LinkedIn,Manager,Management,Sneha,2024-03-29,2024-04-06,2024-04-13,2024-05-09,Joined,810271.0
C136,Rohit Kale,Female,22,LinkedIn,Sales Executive,Sales,Sneha,2024-01-02,2024-01-08,2024-01-12,2024-01-26,Joined,1104624.0
C137,Kunal Desai,Female,26,Indeed,Data Analyst,Analytics,Sneha,2024-05-07,2024-05-17,2024-05-21,,Offer Accepted,698676.0
C138,Amol Pawar,Male,30,Indeed,Data Analyst,Analytics,Pallavi,2024-01-11,2024-01-19,2024-01-22,2024-02-19,Joined,628267.0
C139,Pratik Jadhav,Female,33,Referral,HR Executive,HR,Sneha,2024-04-13,2024-04-18,,,Rejected,
C140,Akash Kulkarni,Female,35,Indeed,Data Analyst,Analytics,Pallavi,2024-01-28,2024-02-03,2024-02-09,,Offer Accepted,849414.0
C141,Pooja Deshmukh,Female,35,Indeed,HR Executive,HR,Amit,2024-03-26,2024-04-01,2024-04-04,2024-04-30,Joined,856379.0
C142,Neha Joshi,Female,27,LinkedIn,Software Engineer,IT,Sneha,2024-02-07,2024-02-14,2024-02-21,2024-03-22,Joined,460295.0
C143,Pooja Deshmukh,Male,34,Referral,Sales Executive,Sales,Pallavi,2024-06-23,2024-07-02,2024-07-09,,Offer Declined,638908.0
C144,Aarti Kulkarni,Female,24,Referral,Data Analyst,Analytics,Pallavi,2024-04-23,2024-05-03,2024-05-08,2024-05-19,Joined,920148.0
C145,Komal Shinde,Male,26,Referral,Sales Executive,Sales,Sneha,2024-01-15,2024-01-22,,,Rejected,
C146,Pooja Deshmukh,Male,31,Referral,Sales Executive,Sales,Sneha,2024-04-25,2024-05-04,2024-05-09,,Offer Declined,934394.0
C147,Sayali Patil,Male,22,Referral,Data Analyst,Analytics,Rohit,2024-01-22,2024-01-31,2024-02-03,,Offer Declined,559778.0
C148,Snehal Patil,Female,29,LinkedIn,HR Executive,HR,Rohit,2024-03-13,2024-03-21,2024-03-26,,Offer Accepted,1011875.0
C149,Shweta Kulkarni,Male,34,Indeed,Data Analyst,Analytics,Rohit,2024-01-25,2024-02-03,2024-02-08,,Offer Declined,564236.0
C150,Snehal Patil,Male,27,Naukri,Manager,Management,Amit,2024-03-30,2024-04-06,,,Rejected,
C151,Snehal Patil,Female,24,Naukri,HR Executive,HR,Pallavi,2024-06-13,2024-06-20,,,Rejected,
C152,Rohit Kale,Male,32,Referral,Manager,Management,Rohit,2024-01-05,2024-01-12,2024-01-16,2024-02-10,Joined,658332.0
C153,Neha Joshi,Male,24,LinkedIn,Data Analyst,Analytics,Rohit,2024-01-26,2024-02-04,,,Rejected,
C154,Aarti Kulkarni,Male,32,Indeed,Manager,Management,Amit,2024-06-01,2024-06-09,2024-06-13,2024-07-12,Joined,1171728.0
C155,Kunal Desai,Male,33,Referral,Data Analyst,Analytics,Pallavi,2024-04-03,2024-04-13,,,Rejected,
C156,Sayali Patil,Female,34,Referral,Software Engineer,IT,Amit,2024-03-20,2024-03-28,,,Rejected,
C157,Neha Joshi,Female,32,Referral,Sales Executive,Sales,Rohit,2024-04-07,2024-04-16,2024-04-20,,Offer Declined,1156572.0
C158,Neha Joshi,Male,35,Indeed,Data Analyst,Analytics,Pallavi,2024-04-05,2024-04-14,,,Rejected,
C159,Snehal Patil,Male,26,Naukri,Software Engineer,IT,Rohit,2024-04-25,2024-05-04,2024-05-10,2024-05-27,Joined,396168.0
C160,Aarti Kulkarni,Female,27,Naukri,Sales Executive,Sales,Sneha,2024-04-11,2024-04-20,2024-04-26,,Offer Accepted,385569.0
C161,Komal Shinde,Male,22,Indeed,Data Analyst,Analytics,Rohit,2024-02-07,2024-02-13,2024-02-19,2024-03-04,Joined,1029884.0
C162,Kunal Desai,Female,29,Naukri,Data Analyst,Analytics,Sneha,2024-03-06,2024-03-12,,,Rejected,
C163,Amol Pawar,Female,23,Indeed,Software Engineer,IT,Rohit,2024-02-01,2024-02-06,2024-02-13,2024-02-25,Joined,779318.0
C164,Pooja Deshmukh,Female,31,Naukri,Manager,Management,Amit,2024-02-06,2024-02-13,2024-02-20,,Offer Accepted,669954.0
C165,Neha Joshi,Female,24,Naukri,Manager,Management,Rohit,2024-01-18,2024-01-27,2024-02-03,,Offer Declined,881070.0
C166,Rahul Patil,Female,35,Referral,Data Analyst,Analytics,Pallavi,2024-04-05,2024-04-12,,,Rejected,
C167,Komal Shinde,Male,27,LinkedIn,Data Analyst,Analytics,Rohit,2024-02-04,2024-02-09,2024-02-14,,Offer Accepted,1153025.0
C168,Rohit Kale,Male,35,Referral,Sales Executive,Sales,Amit,2024-02-04,2024-02-09,,,Rejected,
C169,Sayali Patil,Male,26,LinkedIn,Data Analyst,Analytics,Amit,2024-01-11,2024-01-18,,,Rejected,
C170,Amol Pawar,Female,35,Referral,HR Executive,HR,Sneha,2024-06-14,2024-06-20,2024-06-23,2024-07-13,Joined,987584.0
C171,Saurabh More,Male,34,Indeed,Sales Executive,Sales,Pallavi,2024-04-22,2024-04-30,2024-05-04,2024-05-29,Joined,820306.0
C172,Komal Shinde,Female,34,Naukri,Sales Executive,Sales,Sneha,2024-04-20,2024-04-29,,,Rejected,
C173,Akash Kulkarni,Female,27,Naukri,Data Analyst,Analytics,Rohit,2024-06-18,2024-06-25,2024-07-02,2024-07-25,Joined,1052524.0
C174,Akash Kulkarni,Female,27,Referral,Data Analyst,Analytics,Rohit,2024-06-06,2024-06-14,2024-06-17,2024-07-17,Joined,378686.0
C175,Pratik Jadhav,Female,30,LinkedIn,Data Analyst,Analytics,Amit,2024-06-04,2024-06-14,,,Rejected,
C176,Rahul Patil,Male,23,LinkedIn,HR Executive,HR,Rohit,2024-04-08,2024-04-17,2024-04-21,2024-05-15,Joined,1012048.0
C177,Komal Shinde,Female,29,Naukri,Manager,Management,Amit,2024-05-15,2024-05-22,2024-05-27,,Offer Accepted,561736.0
C178,Pooja Deshmukh,Male,33,LinkedIn,Sales Executive,Sales,Pallavi,2024-05-23,2024-05-28,2024-06-02,2024-06-26,Joined,1038237.0
C179,Neha Joshi,Female,33,Referral,Software Engineer,IT,Sneha,2024-02-04,2024-02-09,2024-02-15,,Offer Accepted,392055.0
C180,Kunal Desai,Female,32,Indeed,Data Analyst,Analytics,Rohit,2024-03-17,2024-03-23,,,Rejected,
C181,Vikas Chavan,Male,34,Indeed,Manager,Management,Amit,2024-02-01,2024-02-07,,,Rejected,
C182,Neha Joshi,Female,22,Indeed,Manager,Management,Rohit,2024-04-29,2024-05-08,2024-05-11,2024-05-30,Joined,368941.0
C183,Pratik Jadhav,Female,30,Referral,Sales Executive,Sales,Sneha,2024-02-02,2024-02-09,2024-02-15,,Offer Declined,788461.0
C184,Rohit Kale,Female,24,LinkedIn,Software Engineer,IT,Pallavi,2024-05-08,2024-05-13,,,Rejected,
C185,Amol Pawar,Male,26,LinkedIn,Software Engineer,IT,Rohit,2024-02-27,2024-03-05,,,Rejected,
C186,Amol Pawar,Female,35,Naukri,HR Executive,HR,Amit,2024-06-11,2024-06-20,2024-06-25,2024-07-22,Joined,944274.0
C187,Pooja Deshmukh,Male,31,LinkedIn,Software Engineer,IT,Rohit,2024-05-24,2024-05-29,,,Rejected,
C188,Rahul Patil,Male,22,Indeed,Software Engineer,IT,Pallavi,2024-06-07,2024-06-17,2024-06-24,2024-07-24,Joined,603742.0
C189,Saurabh More,Female,25,Referral,HR Executive,HR,Pallavi,2024-01-19,2024-01-29,2024-02-04,2024-02-29,Joined,735810.0
C190,Sayali Patil,Male,27,LinkedIn,HR Executive,HR,Rohit,2024-03-29,2024-04-06,2024-04-11,2024-05-08,Joined,839995.0
C191,Pooja Deshmukh,Female,25,Referral,Data Analyst,Analytics,Rohit,2024-04-25,2024-05-01,2024-05-04,2024-05-26,Joined,604309.0
C192,Aarti Kulkarni,Female,25,LinkedIn,HR Executive,HR,Rohit,2024-02-18,2024-02-24,2024-03-02,,Offer Accepted,789491.0
C193,Sayali Patil,Female,29,Naukri,Data Analyst,Analytics,Pallavi,2024-05-09,2024-05-17,,,Rejected,
C194,Neha Joshi,Female,22,Naukri,HR Executive,HR,Pallavi,2024-06-01,2024-06-11,2024-06-16,,Offer Declined,862761.0
C195,Rahul Patil,Male,28,LinkedIn,HR Executive,HR,Rohit,2024-04-13,2024-04-20,2024-04-23,2024-05-20,Joined,897983.0
C196,Neha Joshi,Female,30,Indeed,Data Analyst,Analytics,Pallavi,2024-05-09,2024-05-17,,,Rejected,
C197,Saurabh More,Male,24,Naukri,Sales Executive,Sales,Rohit,2024-03-27,2024-04-05,,,Rejected,
C198,Kunal Desai,Male,25,Referral,Manager,Management,Sneha,2024-01-12,2024-01-17,2024-01-22,2024-02-16,Joined,1143019.0
C199,Amol Pawar,Female,24,LinkedIn,HR Executive,HR,Rohit,2024-02-11,2024-02-19,,,Rejected,
C200,Snehal Patil,Female,31,Indeed,Manager,Management,Pallavi,2024-05-24,2024-05-31,2024-06-03,,Offer Accepted,686251.0
